[0,101,60000,60000,60000,60000,60000,60000,60000,152,60000,60000,108,60000,60000,60000,60000,60000,60000,60000]
[190,0,133,60000,60000,60000,60000,234,60000,174,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,121,0,232,200,60000,60000,241,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,970]
[190,60000,332,0,116,60000,60000,236,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,60000,341,146,0,149,239,233,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,986]
[190,60000,60000,60000,176,0,285,60000,265,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,60000,60000,60000,60000,296,0,60000,198,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,60000,60000,225,191,60000,60000,0,60000,175,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,60000,60000,60000,60000,60000,189,249,0,237,153,60000,60000,60000,60000,60000,60000,60000,60000,60000]
[190,204,60000,60000,60000,60000,60000,111,181,0,209,255,60000,60000,60000,60000,60000,60000,60000,60000]
[190,60000,60000,60000,60000,60000,60000,60000,177,267,0,182,60000,60000,60000,60000,60000,60000,60000,945]
[190,60000,60000,60000,60000,60000,60000,60000,60000,257,144,0,217,238,133,314,60000,60000,60000,60000]
[190,164,60000,60000,60000,60000,60000,60000,60000,203,60000,173,0,101,160,60000,60000,60000,60000,60000]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,182,167,0,171,60000,202,60000,60000,60000]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,92,225,185,0,298,258,60000,60000,60000]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,270,60000,60000,278,0,237,223,233,787]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,262,60000,60000,270,259,0,177,252,60000]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,299,238,0,189,60000]
[190,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,372,60000,240,0,807]
[0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,0]
